Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Sales Value,,,,,,,611.60,"2,414.50","4,126.86","2,994.14","1,170.36",340.52,"11,657.98"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,5.02,19.80,43.37,39.73,20.27,3.79,131.97
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Sales Units,,,,,,,44.00,173.71,380.41,348.55,177.77,33.20,"1,157.63"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,121.93,121.93,95.16,75.36,57.75,89.97,88.34
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,0.002,0.08,0.08,0.07,0.03,0.04,0.08
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY BOURNVILLE FINGERS 114GM,7622201438487,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,0.42,5.33,5.33,4.49,2.33,2.25,6.08
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Sales Value,"2,181.57","1,548.91","2,037.34","1,962.53","1,670.58","1,656.66",604.52,454.58,17.85,,,,"12,134.53"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Sales (KG/LIT/000'U),22.816,16.888,22.98,18.96,18.00,20.49,6.89,6.84,0.34,,,,134.19
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Sales Units,200.144,148.144,201.57,166.29,157.86,179.72,60.43,60.00,3.00,,,,"1,177.14"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Price per Sales (KG/LIT/000'U),95.616,91.716,88.66,103.53,92.831,80.86,87.75,66.46,52.19,,,,90.43
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Numeric Distribution Selling (C),0.035,0.031,0.037,0.032,0.032,0.031,0.021,0.01,0.00,,,,0.04
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY FINGERS DARK CHOC 114GM,7622201442613,CHOCOLATE,Weighted Distribution - Reach - Product Segment,2.135,1.465,1.714,1.826,1.69,1.66,0.999,0.57,0.15,,,,2.09
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Sales Value,,,,,162.16,"7,668.08","24,154.26","20,960.17","14,564.97","6,627.98","6,218.74","16,841.37","97,197.72"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Sales (KG/LIT/000'U),,,,,1.43,75.28,245.27,248.46,189.63,66.37,74.02,221.59,"1,122.05"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Sales Units,,,,,12.57,660.33,"2,151.46","2,179.45","1,663.45",582.16,649.32,"1,943.76","9,842.51"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,113.163,101.863,98.481,84.36,76.81,99.87,84.01,76.00,86.63
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Numeric Distribution Selling (C),,,,,0.002,0.055,0.056,0.06,0.06,0.06,0.04,0.08,0.09
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS (UK) 114G,0072417161575,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,0.32,4.014,4.258,4.64,4.02,3.89,4.05,5.85,6.59
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Sales Value,"4,557.45","3,335.84",957.68,151.12,"1,901.31","6,575.65","1,277.80",956.73,144.85,241.42,7.74,12.90,"20,120.46"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Sales (KG/LIT/000'U),40.28,29.53,8.46,1.34,16.89,58,12.03,12.98,2.13,2.22,0.23,0.11,184.38
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Sales Units,353.29,258.99,74.24,11.72,148.12,510.41,105.55,113.87,18.71,19.43,2.00,1.00,"1,617.33"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Price per Sales (KG/LIT/000'U),113.158,112.984,113.16,113.20,112.60,113.009,106.19,73.70,67.91,108.99,33.95,113.16,109.13
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Numeric Distribution Selling (C),0.047,0.042,0.041,0.003,0.059,0.024,0.022,0.02,0.01,0.00,0.00,0.00,0.07
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MILK FINGERS 114G,0072417153143,CHOCOLATE,Weighted Distribution - Reach - Product Segment,2.474,2.059,1.894,0.282,4.401,2.627,2.387,1.83,0.55,0.22,0.11,0.11,4.67
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Sales Value,680.01,112.20,18.70,11.90,,,,,,,,,822.81
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Sales (KG/LIT/000'U),7.87,1.19,0.18,0.11,,,,,,,,,9.35
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Sales Units,69.001,10.43,1.57,1.00,,,,,,,,,82.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Price per Sales (KG/LIT/000'U),86.449,94.365,104.469,104.386,,,,,,,,,88.02
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Numeric Distribution Selling (C),0.013,0.006,0.001,0.001,,,,,,,,,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY MINT FINGERS 114GM,7622201494421,MINT,Weighted Distribution - Reach - Product Segment,0.923,0.359,0.041,0.062,,,,,,,,,0.83
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Sales Value,,,,,,,639.40,"3,998.02","4,703.56","2,196.89","1,006.12","1,675.59","14,219.57"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Sales (KG/LIT/000'U),,,,,,,5.24,33.14,38.96,22.62,9.81,15.49,125.26
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Sales Units,,,,,,,46.00,290.73,341.72,198.39,86.04,135.92,"1,098.79"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Price per Sales (KG/LIT/000'U),,,,,,,121.93,120.63,120.74,97.14,102.58,108.14,113.52
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Numeric Distribution Selling (C),,,,,,,0.00,0.05,0.05,0.05,0.02,0.03,0.06
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY ORANGE FINGERS 114G,7622201449810,ORANGE,Weighted Distribution - Reach - Product Segment,,,,,,,0.42,3.73,4.22,4.04,1.57,2.42,4.92
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales Value,765.855,"2,613.09","1,393.81",657.90,562.87,58.651,18.7,,,,,,"6,070.88"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales (KG/LIT/000'U),7.394,28.972,17.849,6.531,9.055,1.254,0.179,,,,,,71.23
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Sales Units,64.858,254.145,156.57,57.286,79.428,11,1.571,,,,,,624.86
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,114GM,CADBURY,CADBURY SALTED CARAMEL FINGERS 114G,7622201765804,SALTED CARAMEL,Price per Sales (KG/LIT/000'U),103.578,90.193,78.09,100.74,62.16,46.77,104.47,,,,,,85.22
