UPC,Count,Type,VaryingFields
75031183,2,VARIATION,"{'ITEM': ['CHIPSMORE ORIGINAL 80G', 'CHIPSMORE ORIGINAL MINI 72G'], 'NRMSIZE': ['NONE', '80GM'], 'VARIANT': ['NONE', 'ORIGINAL']}"
7622210638632,5,VARIATION,"{'ITEM': ['CHIPSMORE ORIGINAL 20% EXTRA COOKIES 183.6GM', 'CHIPSMORE ORI 153G', 'CHIPSMORE ORIGINAL NOW WITH CHUNKS 135GM', 'KRAFT CHIPSMORE REGULAR 180G', 'CHIPSMORE BISCUIT REGULAR 135G'], 'NRMSIZE': ['183.6GM', 'NONE', '180GM', '135GM', '153GM'], 'VARIANT': ['NONE', 'ORIGINAL']}"
9556121000494,2,VARIATION,"{'ITEM': ['JULIES GOLDEN CRACKERS 331G', 'JULIES GOLDEN CRACKERS 368G'], 'NRMSIZE': ['331GM', '368GM']}"
80001218,3,VARIATION,"{'ITEM': ['LOACKER NAPOLITANER 45G', 'LOACKER C.S/WICH QUADRATIN NAPOLITAN 45 GM', 'LOACKER C.S/WICH NEAPO. HAZELNUT WAFER 45 GM'], 'NRMSIZE': ['NONE', '45GM'], 'VARIANT': ['NONE', 'HAZELNUT']}"
8000380159680,2,VARIATION,"{'ITEM': ['2194 LOACKER QUADRATINI NAPOLITANER 250G', 'LOACKER NAPOLITANER 250GM EXTRA 20%'], 'NRMSIZE': ['NONE', '250GM'], 'VARIANT': ['NONE', 'HAZELNUT']}"
80001249,2,VARIATION,"{'ITEM': ['LOAKER WFR 45GM VNLLA', 'LOACKER C.S/WICH MILK VANILLA WAFER 45 GM']}"
80001263,3,VARIATION,"{'ITEM': ['LOACKER C.S/WICH CREAM KAKAO 45 GM', 'LOACKER CREMKAKAO 45 GM', 'LOACKER CREAMKAKAO 45GMX2'], 'MPACK': ['X1', 'X2'], 'NRMSIZE': ['NONE', '45GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
80001270,3,VARIATION,"{'ITEM': ['LOACKER C.S/WICH MILK WAFER 45 GM', 'LOACKER MILK 45GMX2', 'LOACKER MILK 45GM'], 'MPACK': ['X1', 'X2']}"
80050100,3,VARIATION,"{'ITEM': ['NUTELLA GO 52G', 'FERRERO NUTELLA & GO (GERMANY) 52GM', 'NUTELLA N GO 48GM'], 'NRMSIZE': ['NONE', '48GM', '52GM'], 'VARIANT': ['NONE', 'HAZELNUT & CHOCOLATE']}"
14100074724,2,VARIATION,"{'ITEM': ['PEPPERIDGE FARM MILANO DOUBLE CHOCOLATE 213 GM', 'PEPPERIDGE FARM BISCUIT MILANO DOUBLE CHOC 7OZ 198GM'], 'NRMSIZE': ['198GM', '213GM'], 'VARIANT': ['CHOCOLATE', 'DOUBLE CHOCOLATE']}"
14100077084,2,VARIATION,"{'ITEM': ['PEPPERID GE FARM CHESAPEA C.CHUNK PECAN 206 GM', 'PEPPERIDGE FARM-CHESAPEAKE DARK CHOC PECAN 7.2 OZ 204GM'], 'NRMSIZE': ['NONE', '204GM'], 'VARIANT': ['NONE', 'DARK CHOCOLATE']}"
14100077121,2,VARIATION,"{'ITEM': ['PEPPERIDGE FARM SAUSALITO CHOC CHIPS W MACADA 204GM', 'PEPPERID FARM CHOCOLATE MILK MACADAMIA 206GM'], 'NRMSIZE': ['206GM', '204GM'], 'VARIANT': ['CHOCOLATE', 'CHOCOLATE CHIP']}"
14100077138,2,VARIATION,"{'ITEM': ['PEPPERIDGE FARM NANTUCKET 204 GM', 'PEPPERIDGE FARM NANTUCKET DARK CHOCOLATE 206G'], 'NRMSIZE': ['206GM', '204GM'], 'VARIANT': ['NONE', 'CHOCOLATE']}"
14100085393,3,VARIATION,"{'ITEM': ['PEPPERIDGE FARM BISCUIT - COLORS 6.6 OZ 187GM', 'PEPPERIDGE FARM GOLDFISH COLOR 187GM', 'PEPPERIDGE FARM GOLDFISH CHEDDAR COLOR 187 GM']}"
9556439889569,2,VARIATION,"{'ITEM': ['MUNCHYS LEXUS CHOCOLATE 200GM(10S X 20GM) FREE INPACK 2SX20GM (240GM)', 'MUNCHYS LEXUS CHOC COATED 200GM(10S X 20GM)']}"
39047014589,2,VARIATION,"{'ITEM': ['WALKERS SHORT BREAD FESTIVE (IMPT BISC) 175 GM', 'WALKERS ALMOND SHORT BREAD 150GM'], 'NRMSIZE': ['175GM', '150GM'], 'VARIANT': ['NONE', 'ALMOND']}"
46214731774,3,VARIATION,"{'ITEM': ['MERBA AMERICAN COOKIES 200GM', 'MERBA CHOCOLATE COOKIES 200G', 'MERBA AMERICA CHOCO COOKIES 200GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
77330012591,2,VARIATION,"{'ITEM': ['KJELDSENS BTTR COOKIES - ORIGINAL (BOX) 125G', 'KJELDSEN PL.SWEET BUTTER COOKIES BOX 125 GM'], 'VARIANT': ['BUTTER', 'ORIGINAL']}"
77330012218,3,VARIATION,"{'ITEM': ['KJELDSEN COOKIES ORI 454GM', 'KJELDSENS DANISH BUTTER COOKIES 454G', 'KJELDSEN PL.SWEET BUTTER COOKIES (T) 454 GM'], 'VARIANT': ['BUTTER', 'ORIGINAL']}"
77330578370,3,VARIATION,"{'ITEM': ['ROYAL DANSK WAFER CHOCOLATE 350GM', 'ROYAL DANSK LUXURY WAFERS W/CHOC CREAM 350G', 'ROYAL DANSK WAFER TIN CHOCOLATE 350G']}"
77975034095,2,VARIATION,"{'ITEM': ['SNYDERS PRETZELS STICKS 255.2GM', 'SNYDERS OF HANOVER PRETZELS STICKS 255 GM'], 'NRMSIZE': ['255GM', '255.2GM']}"
9555583207113,2,VARIATION,"{'ITEM': ['KHONG GUAN LEMON PUFF 800GM', 'KHONG GUAN 820GM X1 LEMON LEMON PUFF'], 'NRMSIZE': ['800GM', '820GM']}"
84501480318,2,VARIATION,"{'ITEM': ['K.GUAN CRACKERS FAMILY CRACKER 500 GM', 'KHONG GUAN CRACKERS FAMILY CRACKER 500 GM'], 'NRMSIZE': ['NONE', '500GM']}"
84501814311,3,VARIATION,"{'ITEM': ['KHONG GUAN SULTANA GRAPE BISCUITS 170G', 'SULTANA BISCUIT 170G', 'KHONG GUAN SULTANA BISCUIT 170G'], 'BRAND': ['SULTANA', 'KHONG GUAN'], 'VARIANT': ['GRAPE', 'NONE']}"
8852008300116,3,VARIATION,"{'ITEM': [""LOTTE KOALA 'S MARCH CHOCOLATE 37GM"", 'LOTTE KOALA MARCH COOKIES CHOCOLATE 41GM', 'KOALAS MARCH CHOCOLATE 47GM'], 'NRMSIZE': ['NONE', '41GM', '47GM'], 'VARIANT': ['NONE', 'CHOCOLATE']}"
9556121026913,2,VARIATION,"{'ITEM': [""JULIE'S BUTTER CRACKER 125 GM"", ""JULIE'S BUTTER CRACKERS 132GM""], 'NRMSIZE': ['NONE', '125GM'], 'VARIANT': ['NONE', 'BUTTER']}"
9556121000258,3,VARIATION,"{'ITEM': [""JULIE'S BUTTER CRACKERS 198 GM"", 'JULIES BUTTER CRACKERS 200GM (25GM X 8)', 'JULIES BUTTER CRACKERS EXT 25% 200GM(25GM X 8S)+50GM(2S) 250 GM'], 'MPACK': ['X1', 'X8'], 'NRMSIZE': ['198GM', '25GM']}"
9556121026647,3,VARIATION,"{'ITEM': ['JULIES BUTTER CRACKERS 395G', ""JULIE'S BUTTER CRACKERS 360G"", ""JULIE'S BUTTER CRACKERS 360GM""], 'NRMSIZE': ['395GM', '360GM']}"
9556121024001,2,VARIATION,"{'ITEM': ['JULIES BUTTER CRACKER 700GM', 'JULIES BUTTER CRACKERS 600GM'], 'NRMSIZE': ['600GM', '700GM']}"
8992760121014,2,VARIATION,"{'ITEM': ['OREO ORIGINAL 27.6GM', 'OREO VANILLA MP 9SX27.6G'], 'MPACK': ['X1', 'X9'], 'NRMSIZE': ['NONE', '27.6GM'], 'VARIANT': ['NONE', 'VANILLA']}"
8992760221028,4,VARIATION,"{'ITEM': ['OREO ORIGINAL 119.6GM', 'OREO X BLACKPINK CHOCOLATE SANDWICH CKS W/ VANILLA FLV CRM 119.6G', 'OREO ORIGINAL + 2 EXTRA COOKIES 138G ( 119.6G + 18.4G)', 'OREO VANILLA POKEMON SUMMER 119.6GM']}"
9556023222147,2,VARIATION,"{'ITEM': ['ZESS CREAM CRACKERS ORIGINAL 430GM', 'ZESS ORIGINAL CREAM CRACKER 380GM'], 'NRMSIZE': ['380GM', '430GM']}"
8993175532457,2,VARIATION,"{'ITEM': ['NABATI RICHEESE CHEESE EXTRA 30% (16G + 4.8G) 20.8GM', 'RICHEESE NABATI CHEESE WAFER EXT.30% 18GM+5.4GM'], 'NRMSIZE': ['NONE', '16GM'], 'VARIANT': ['NONE', 'CHEESE']}"
8993175536707,2,VARIATION,"{'ITEM': ['RICHEESE CHEESE WAFER 150GM', 'RICHEESE NABATI WAFER CHEESE 145G'], 'NRMSIZE': ['145GM', '150GM']}"
8993175547222,4,VARIATION,"{'ITEM': ['NABATI RICHEESE 46G EXTRA 30%(13.8G) 59.8GM', 'NABATI RICHEESE CHEESE CREAM WAFER EXTRA 20% 44.4G (37G + 7.4G)', 'NABATI RICHEESE CHEESE CREAM WAFER EXTRA 30% RM 1 58.5G', 'NABATI CHEESE WAFER 45GM'], 'NRMSIZE': ['NONE', '45GM', '46GM'], 'VARIANT': ['NONE', 'CHEESE']}"
726165011049,5,VARIATION,"{'ITEM': ['APOLLO CHOCO WAFER STICK 15GM', 'APOLLO CHOCO WAFER STICK 15GM X 12', '1012M STICK WAFER 11G*12 CHOC', 'APOLLO CHOCOLATE WFR CREAM STICK 12SX11G', 'APOLLO CHOCO WAFER STICK 11GM'], 'BRAND': ['APOLLO', '1012M'], 'MPACK': ['X1', 'X12'], 'NRMSIZE': ['15GM', '11GM', 'NONE'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
726165021048,5,VARIATION,"{'ITEM': ['APOLLO CHOCO WAFER STICK 120GM', 'APOLLO CHOC STICK WAFER 12X11GM', 'APOLLO STICK WAFER CHOC 11GMX12', 'APOLLO STICK CHOCO WAFER 12S X 15GM 180GM', 'APOLLO WAFER STICK CHOMIL 15GM'], 'MPACK': ['X1', 'X12'], 'NRMSIZE': ['120GM', '15GM', '11GM']}"
8801062279555,2,VARIATION,"{'ITEM': ['LOTTE PEPERO CHOCO BIG PACK 240GM', 'LOTTE CHOCO PEPERO BIG PACK 8X30G'], 'MPACK': ['X1', 'X8'], 'NRMSIZE': ['30GM', '240GM']}"
8801062481958,2,VARIATION,"{'ITEM': ['LOTTE PEPERO CHOCOCOOKIE BIGPACK 256G', 'LOTTE PEANUT PEPERO 32GM'], 'NRMSIZE': ['NONE', '256GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
9556439893221,2,VARIATION,"{'ITEM': ['MUNCHY�S CRACKERS PLUS HIGH PROTEIN CHIA SEEDS 7X100GM', 'MUNCHYS CRACKER HI PROTEIN CHIASEED 700G'], 'MPACK': ['X1', 'X7'], 'NRMSIZE': ['100GM', '700GM']}"
9556439885165,5,VARIATION,"{'ITEM': ['MUNCHYS OAT KRUNCH DARK CHOCLATE 156GM(25GM X 6)+52GM ( EXT33%) 208GM', 'OAT KRUNCH DARK CHOCOLATE 208GM (26GMX8) - FOC OK DC (26GMX2)', 'MUNCHYS OAT KRUNCH DARK CHOCOLATE 180 GM', 'MUNCHYS OAT KRUNCH DARK CHOC PACK 208GM(26GM X 8)', ""MUNCHY'S OAT KRUNCH 190GM""], 'MPACK': ['X8', 'X1', 'X6'], 'NRMSIZE': ['NONE', '180GM', '190GM', '26GM'], 'VARIANT': ['NONE', 'DARK CHOCOLATE']}"
8993175540797,5,VARIATION,"{'ITEM': ['NABATI NEXTAR BROWNIES CHOCO DELIGHT 8SX13.3GM', 'NABATI NEXTAR BROWNIES-CHOCO DELIGHT 112GM', 'NABATI NEXTAR BROWNIES CHOCOLATE 106G', 'NABATI NEXTAR BROWNIES C/DELIGHT 90G', 'NABATI NEXTAR BROWNIES CHOCO 8X14G'], 'MPACK': ['X1', 'X8'], 'NRMSIZE': ['14GM', '112GM', '90GM', '13.3GM', '106GM']}"
7622210974921,2,VARIATION,"{'ITEM': ['JACOBS CREAM CRACKER REFILL 360GM', 'JACOBS CREAM CRACKER 324GM'], 'NRMSIZE': ['324GM', '360GM']}"
8993175538572,2,VARIATION,"{'ITEM': ['RICHEESE WAFER NABATI POUCHES 125GM', 'NABATI BITES CHEESE 112GM'], 'NRMSIZE': ['125GM', '112GM']}"
8851019010007,2,VARIATION,"{'ITEM': ['GLICO POCKY CHOCOLATE 47GM', 'POCKY STICK CHOCOLATE 49G'], 'NRMSIZE': ['NONE', '49GM'], 'VARIANT': ['NONE', 'CHOCOLATE']}"
4901005512429,2,VARIATION,"{'ITEM': ['GLICO TSUBU ICHIGO POCKY HARTFULL 2SX75G', 'GLICO POCKY STRAWBERRY 2SX55GM'], 'NRMSIZE': ['55GM', '75GM'], 'VARIANT': ['NONE', 'STRAWBERRY']}"
4901005512573,2,VARIATION,"{'ITEM': ['GLICO POCKY STRAWBERRY 125.1G (13.9G X 9)', 'GLICO POCKY STRAWBERRY FS 8SX123G'], 'MPACK': ['X8', 'X9'], 'NRMSIZE': ['123GM', '13.9GM']}"
8851019310268,3,VARIATION,"{'ITEM': ['POCKY FAMILY PACK STRAWBERRY 168G(21GM X 8)', 'GLICO POCKY BISC FAMILY PA SBERY 176GM (22GM X 8)', 'POCKY FAMILY PACK STRAWBERRY 5SX168G(21GM X 8)'], 'MPACK': ['X8', 'X40'], 'NRMSIZE': ['22GM', '21GM']}"
8000500224281,4,VARIATION,"{'ITEM': ['FERRERO NUTELLA B-READY 6SX22 GM', 'NUTELLA B-READY T1 22GM', 'NUTELLA BREADY 22.65G', 'FERRERO FR-NUTELLA B-READY T1 22G'], 'MPACK': ['X1', 'X6'], 'NRMSIZE': ['22GM', '22.65GM']}"
8000500227848,3,VARIATION,"{'ITEM': ['NUTELLA FERRERO B-READY 6SX132G', 'NUTELLA B-READY 132G', 'NUTELLA B-READY 12X22GM'], 'MPACK': ['X1', 'X6', 'X12'], 'NRMSIZE': ['22GM', '132GM'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
8996001302637,2,VARIATION,"{'ITEM': ['AYORA ROMA RICH CHOCOLATE 105GM', 'ROMA MALKIST CHOCOLATE 120 GM'], 'NRMSIZE': ['120GM', '105GM']}"
8993175547284,5,VARIATION,"{'ITEM': ['NABATI PINK LAVA FLAVOURED WAFER EXTRA 30% (37G + 11.1G) 48.1GM', 'NABATI PINK LAVA EXTRA 30% RM 1 58.5G', 'NABATI PINK LAVA WAFER 45G 1S', 'NABATI PINK LAVA 46G EXTRA 30%(13.8G) 59.8GM', 'NABATI PINK LAVA 40G EXTRA 30%'], 'NRMSIZE': ['37GM', 'NONE', '45GM', '46GM'], 'VARIANT': ['NONE', 'PINK LAVA']}"
4901360312375,2,VARIATION,"{'ITEM': ['BOURBON PETIT CHOCO CHIP 58GM', 'BOURBON CHOCO CHIP 60GM'], 'NRMSIZE': ['NONE', '58GM'], 'VARIANT': ['NONE', 'CHOCOLATE CHIP']}"
726165121045,4,VARIATION,"{'ITEM': ['APOLLO STICK WAFER STRAWBERRY 12X11GM', 'APPOLO STICK STRAWBERRY 12X35GM', 'APOLLO BISKUT STRAWBERRY 11G', 'APOLLO STICK STRAWBERRY WAFER 12S X 15GM 180GM'], 'MPACK': ['X1', 'X12'], 'NRMSIZE': ['15GM', '35GM', '11GM']}"
726165151042,2,VARIATION,"{'ITEM': ['APOLLO PANDAN STICK WAFERS 15GM X 12S', 'APOLLO PANDAN WAFER STICK 15GM'], 'MPACK': ['X1', 'X12']}"
726165911028,3,VARIATION,"{'ITEM': ['APOLLO CHOCO CREAM WAFFLE 6 X 18GM', 'APOLLO CHOC CREAMED WAFFLE 18G', 'APOLLO WAFFLES CHOCO CREAM WAFFLES 18GM'], 'MPACK': ['X1', 'X6']}"
